model_perplexity	k
4106.924547835209	2
3525.8472934062156	3
3405.1124302442786	4
3397.653350981442	5
3281.4082621156576	6
3165.587880656574	7
3141.234092614824	8
3079.875225283494	9
2970.702281099829	10
2786.4145670512526	15
2672.7181634484427	20
2519.65126408992	25
2468.2792699683823	30
2421.9206951967617	35
2385.9888907708696	40
2369.695209523269	45
2278.5966903486574	50
2279.98783118183	55
2233.082970629346	60
